,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,post_release_bugs,pre_release_bugs,authors,churn_metric,change_metric
2772,3,3,3,1,36,5,29,2,1,0,0,1,1,1,0,1,0,0,0,1,73,10,44,20,24,19,25,30,18,12,3,3,3,1,2,0.43,3,3,3,1,2,2,7,1,7
2773,1,1,1,1,27,4,19,4,1,2,1,3,3,1,0,3,0,2,0,1,133,21,82,41,48,30,54,60,35,25,3,3,3,1,2,0.37,5,5,5,3,0,2,4,1,5
2774,1,1,1,1,18,2,13,3,8,1,6,23,20,23,7,24,3,4,0,17,550,81,372,141,240,103,225,259,109,150,3,3,3,1,2,0.28,30,30,30,23,3,3,28,1,27
2775,1,1,1,1,24,2,20,1,1,0,6,3,3,3,4,3,0,0,0,3,133,17,94,42,58,23,74,80,39,41,2,2,2,1,1,0.24,4,4,4,3,3,3,5,1,5
2776,1,1,1,1,7,0,7,0,23,0,6,127,131,131,46,131,99,3,1,28,1407,174,1155,546,558,78,588,797,432,365,4,4,5,4,3,0.07,188,188,201,144,6,6,48,1,57
2777,1,1,1,1,46,9,33,4,1,0,4,1,1,1,0,1,0,0,0,1,100,15,60,31,36,25,43,46,27,19,1,1,1,1,1,0.42,1,1,1,1,0,1,3,5,3
2778,1,1,2,1,24,2,17,4,5,0,2,16,16,16,6,16,0,2,1,13,475,63,316,109,212,97,202,231,97,134,3,3,5,3,2,0.31,26,26,33,20,6,13,42,1,42
2779,1,1,1,1,45,6,33,6,2,1,4,4,4,3,0,4,1,0,0,3,230,34,151,59,105,45,105,116,51,65,4,4,4,1,2,0.3,7,7,7,4,1,2,16,1,15
2780,3,3,3,1,30,0,24,6,1,0,0,1,1,1,0,1,0,0,0,1,68,5,37,15,19,26,19,24,14,10,3,3,3,1,2,0.7,3,3,3,1,0,2,4,1,4
2781,1,1,1,1,15,2,12,1,1,0,7,3,3,3,4,3,0,0,0,3,114,17,72,41,36,25,55,60,38,22,2,2,2,1,1,0.35,4,4,4,3,1,1,2,6,2
2782,1,1,1,1,6,0,5,0,1,0,2,4,4,4,3,4,0,1,0,3,87,12,55,31,22,20,40,45,27,18,1,1,1,1,0,0.36,4,4,4,4,1,1,9,1,7
2783,1,1,1,1,18,1,12,4,1,1,8,19,19,18,5,19,0,6,0,13,482,51,323,143,210,110,230,256,117,139,3,3,3,1,1,0.34,23,23,24,19,7,8,62,1,59
2784,1,1,2,1,15,0,10,4,3,11,1,20,20,9,12,20,6,4,0,10,476,39,283,117,150,154,168,210,104,106,6,6,8,3,3,0.54,37,37,43,24,0,1,31,1,33
2785,1,1,1,1,27,2,23,2,1,11,11,29,29,18,1,29,0,10,0,19,934,101,748,244,586,85,487,522,170,352,3,3,3,1,1,0.11,34,34,34,29,0,2,8,1,8
2786,2,2,2,1,40,4,23,12,1,0,2,2,2,2,0,2,0,0,0,2,131,17,72,31,43,42,55,61,28,33,3,3,3,1,1,0.58,4,4,4,2,0,1,2,6,2
2787,1,1,1,1,5,0,5,0,1,2,9,13,13,11,0,13,0,0,0,13,155,21,108,58,44,29,55,73,43,30,4,4,4,1,1,0.27,17,17,17,13,0,1,4,1,4
2788,1,1,1,1,32,4,21,7,1,0,3,6,6,6,6,6,0,1,0,5,282,41,179,76,119,62,148,156,67,89,2,2,2,1,1,0.35,7,7,7,6,1,1,17,1,17
2789,2,2,2,1,24,2,19,2,1,3,7,10,10,7,0,10,1,2,0,7,331,41,243,104,163,47,164,188,88,100,6,6,6,1,2,0.19,23,23,24,10,1,4,28,1,28
2790,1,1,1,1,13,0,12,0,1,0,0,11,11,11,3,11,0,2,0,9,210,21,166,72,105,23,111,130,58,72,5,5,5,1,2,0.14,18,18,18,11,6,3,19,4,18
2791,1,1,1,1,55,6,40,8,1,1,19,40,40,39,0,40,0,2,0,38,2410,321,1729,716,1527,360,1449,1501,586,915,4,4,4,3,2,0.21,50,50,51,42,3,6,49,1,49
2792,1,1,1,1,22,2,18,2,1,0,3,4,4,4,6,4,0,0,0,4,159,19,115,59,68,25,94,100,53,47,2,2,2,1,1,0.22,5,5,5,4,1,1,7,1,8
2793,2,2,2,1,14,0,11,2,13,1,13,52,55,54,28,55,38,7,1,9,1071,114,765,330,462,192,418,541,270,271,6,6,7,1,3,0.25,108,108,110,52,1,4,44,1,44
2794,1,1,1,1,24,2,17,3,1,2,3,14,14,12,8,14,5,0,0,9,436,60,300,128,213,76,224,251,115,136,5,5,5,1,1,0.25,21,21,21,14,1,4,20,1,19
2795,1,1,1,1,44,4,30,8,2,1,4,23,23,22,10,23,0,3,0,20,1137,140,773,284,634,224,575,617,232,385,4,4,4,1,1,0.29,38,38,38,23,4,7,43,1,42
2796,1,1,1,1,34,2,26,5,1,0,5,13,13,13,6,13,0,3,0,10,531,56,387,111,315,89,197,226,102,124,5,5,5,1,2,0.23,24,24,24,13,3,3,22,1,22
2797,1,1,1,1,37,4,27,5,1,0,6,4,4,4,4,4,0,0,0,4,219,30,149,67,103,40,113,121,60,61,2,2,2,1,1,0.27,5,5,5,4,1,3,7,1,7
2798,3,3,3,1,22,2,16,3,1,0,3,3,3,3,5,3,0,0,0,3,120,16,77,32,42,27,59,69,33,36,6,6,6,1,2,0.35,9,9,9,3,1,1,4,1,4
2799,4,4,4,1,47,5,27,15,1,0,1,1,1,1,0,1,0,0,0,1,92,12,45,22,23,35,31,36,22,14,4,4,4,1,1,0.78,4,4,4,1,1,3,10,1,10
2800,1,1,1,1,29,3,19,5,1,0,4,4,4,4,7,4,0,0,0,4,178,26,110,41,78,42,90,97,37,60,2,2,2,1,1,0.38,6,6,6,4,1,1,5,1,5
2801,1,1,1,1,8,0,7,0,1,0,6,4,4,4,4,4,0,0,0,4,87,14,56,31,27,17,33,41,27,14,2,2,2,1,1,0.3,7,7,7,4,0,1,2,6,2
